name	x	y	z	coordinate_system	type	group
E1	8.0000	0.0000	n/a	GridSystem	Grid	Grid1
E2	16.0000	0.0000	n/a	GridSystem	Grid	Grid1
E3	24.0000	0.0000	n/a	GridSystem	Grid	Grid1
E4	32.0000	0.0000	n/a	GridSystem	Grid	Grid1
E5	40.0000	0.0000	n/a	GridSystem	Grid	Grid1
E6	48.0000	0.0000	n/a	GridSystem	Grid	Grid1
E7	56.0000	0.0000	n/a	GridSystem	Grid	Grid1
E8	64.0000	0.0000	n/a	GridSystem	Grid	Grid1
E9	72.0000	0.0000	n/a	GridSystem	Grid	Grid1
E10	80.0000	0.0000	n/a	GridSystem	Grid	Grid1
E11	88.0000	0.0000	n/a	GridSystem	Grid	Grid1
E12	96.0000	0.0000	n/a	GridSystem	Grid	Grid1
E13	96.0000	8.0000	n/a	GridSystem	Grid	Grid1
E14	88.0000	8.0000	n/a	GridSystem	Grid	Grid1
E15	80.0000	8.0000	n/a	GridSystem	Grid	Grid1
E16	72.0000	8.0000	n/a	GridSystem	Grid	Grid1
E17	64.0000	8.0000	n/a	GridSystem	Grid	Grid1
E18	56.0000	8.0000	n/a	GridSystem	Grid	Grid1
E19	48.0000	8.0000	n/a	GridSystem	Grid	Grid1
E20	40.0000	8.0000	n/a	GridSystem	Grid	Grid1
E21	32.0000	8.0000	n/a	GridSystem	Grid	Grid1
E22	24.0000	8.0000	n/a	GridSystem	Grid	Grid1
E23	16.0000	8.0000	n/a	GridSystem	Grid	Grid1
E24	8.0000	8.0000	n/a	GridSystem	Grid	Grid1
E25	0.0000	8.0000	n/a	GridSystem	Grid	Grid1
E26	0.0000	16.0000	n/a	GridSystem	Grid	Grid1
E27	8.0000	16.0000	n/a	GridSystem	Grid	Grid1
E28	16.0000	16.0000	n/a	GridSystem	Grid	Grid1
E29	24.0000	16.0000	n/a	GridSystem	Grid	Grid1
E30	32.0000	16.0000	n/a	GridSystem	Grid	Grid1
E31	40.0000	16.0000	n/a	GridSystem	Grid	Grid1
E32	48.0000	16.0000	n/a	GridSystem	Grid	Grid1
E33	56.0000	16.0000	n/a	GridSystem	Grid	Grid1
E34	64.0000	16.0000	n/a	GridSystem	Grid	Grid1
E35	72.0000	16.0000	n/a	GridSystem	Grid	Grid1
E36	80.0000	16.0000	n/a	GridSystem	Grid	Grid1
E37	88.0000	16.0000	n/a	GridSystem	Grid	Grid1
E38	96.0000	16.0000	n/a	GridSystem	Grid	Grid1
E39	96.0000	24.0000	n/a	GridSystem	Grid	Grid1
E40	88.0000	24.0000	n/a	GridSystem	Grid	Grid1
E41	80.0000	24.0000	n/a	GridSystem	Grid	Grid1
E42	72.0000	24.0000	n/a	GridSystem	Grid	Grid1
E43	64.0000	24.0000	n/a	GridSystem	Grid	Grid1
E44	56.0000	24.0000	n/a	GridSystem	Grid	Grid1
E45	48.0000	24.0000	n/a	GridSystem	Grid	Grid1
E46	40.0000	24.0000	n/a	GridSystem	Grid	Grid1
E47	32.0000	24.0000	n/a	GridSystem	Grid	Grid1
E48	24.0000	24.0000	n/a	GridSystem	Grid	Grid1
E49	16.0000	24.0000	n/a	GridSystem	Grid	Grid1
E50	8.0000	24.0000	n/a	GridSystem	Grid	Grid1
E51	0.0000	24.0000	n/a	GridSystem	Grid	Grid1
E52	0.0000	32.0000	n/a	GridSystem	Grid	Grid1
E53	8.0000	32.0000	n/a	GridSystem	Grid	Grid1
E54	16.0000	32.0000	n/a	GridSystem	Grid	Grid1
E55	24.0000	32.0000	n/a	GridSystem	Grid	Grid1
E56	32.0000	32.0000	n/a	GridSystem	Grid	Grid1
E57	40.0000	32.0000	n/a	GridSystem	Grid	Grid1
E58	48.0000	32.0000	n/a	GridSystem	Grid	Grid1
E59	56.0000	32.0000	n/a	GridSystem	Grid	Grid1
E60	64.0000	32.0000	n/a	GridSystem	Grid	Grid1
E61	72.0000	32.0000	n/a	GridSystem	Grid	Grid1
E62	80.0000	32.0000	n/a	GridSystem	Grid	Grid1
E63	88.0000	32.0000	n/a	GridSystem	Grid	Grid1
E64	96.0000	32.0000	n/a	GridSystem	Grid	Grid1
